"name","type","apitype"
"XLENGTH","F","api"
"xlength","F","api"
"PrintValue","F","api"
"R_PV","F","api"
"R_registerRoutines","F","api"
"R_useDynamicSymbols","F","api"
"R_forceSymbols","F","api"
"R_RegisterCCallable","F","api"
"R_GetCCallable","F","api"
"PROTECT","F","api"
"UNPROTECT","F","api"
"protect","F","api"
"unprotect","F","api"
"UNPROTECT_PTR","F","api"
"unprotect_ptr","F","api"
"R_PreserveInMSet","F","api"
"R_ReleaseFromMSet","F","api"
"R_NewPreciousMSet","F","api"
"PROTECT_WITH_INDEX","F","api"
"REPROTECT","F","api"
"R_ProtectWithIndex","F","api"
"R_Reprotect","F","api"
"R_PreserveObject","F","api"
"R_ReleaseObject","F","api"
"allocVector","F","api"
"isReal","F","api"
"isInteger","F","api"
"isString","F","api"
"isNull","F","api"
"isSymbol","F","api"
"isLogical","F","api"
"isComplex","F","api"
"isExpression","F","api"
"isEnvironment","F","api"
"coerceVector","F","api"
"getAttrib","F","api"
"setAttrib","F","api"
"GetArrayDimnames","F","api"
"GetMatrixDimnames","F","api"
"GetColNames","F","api"
"GetRowNames","F","api"
"namesgets","F","api"
"dimnamesgets","F","api"
"dimgets","F","api"
"install","F","api"
"classgets","F","api"
"STRING_ELT","F","api"
"SET_STRING_ELT","F","api"
"defineVar","F","api"
"setVar","F","api"
"R_NewEnv","F","api"
"asInteger","F","api"
"asLogical","F","api"
"asReal","F","api"
"asComplex","F","api"
"asChar","F","api"
"ScalarReal","F","api"
"ScalarInteger","F","api"
"ScalarLogical","F","api"
"ScalarComplex","F","api"
"ScalarRaw","F","api"
"ScalarString","F","api"
"mkString","F","api"
"isVector","F","api"
"isVectorAtomic","F","api"
"isVectorList","F","api"
"isMatrix","F","api"
"isPairList","F","api"
"isPrimitive","F","api"
"isTs","F","api"
"isNumeric","F","api"
"isArray","F","api"
"isFactor","F","api"
"isObject","F","api"
"isFunction","F","api"
"isLanguage","F","api"
"isNewList","F","api"
"isList","F","api"
"isOrdered","F","api"
"isUnordered","F","api"
"CONS","F","api"
"cons","F","api"
"list1","F","api"
"list2","F","api"
"list3","F","api"
"list4","F","api"
"list5","F","api"
"list6","F","api"
"LCONS","F","api"
"lcons","F","api"
"lang1","F","api"
"lang2","F","api"
"lang3","F","api"
"lang4","F","api"
"lang5","F","api"
"lang6","F","api"
"elt","F","api"
"lastElt","F","api"
"nthcdr","F","api"
"str2type","F","api"
"type2str","F","api"
"type2char","F","api"
"duplicate","F","api"
"MAYBE_REFERENCED","F","api"
"MAYBE_SHARED","F","api"
"MARK_NOT_MUTABLE","F","api"
"CADR","F","api"
"CADDR","F","api"
"CADDDR","F","api"
"CAD4R","F","api"
"CAD5R","F","api"
"CAR","F","api"
"CDR","F","api"
"PRINTNAME","F","api"
"TYPEOF","F","api"
"TAG","F","api"
"CAAR","F","api"
"CDAR","F","api"
"CDDR","F","api"
"CDDDR","F","api"
"SETCAR","F","api"
"SETCDR","F","api"
"SETCADR","F","api"
"SETCADDR","F","api"
"SETCADDDR","F","api"
"SETCAD4R","F","api"
"ISNA","F","api"
"ISNAN","F","api"
"eval","F","api"
"findFun","F","api"
"LENGTH","F","api"
"length","F","api"
"allocMatrix","F","api"
"R_ParseVector","F","api"
"R_MakeExternalPtr","F","api"
"R_MakeExternalPtrFn","F","api"
"R_ExternalPtrAddr","F","api"
"R_ExternalPtrAddrFn","F","api"
"R_ExternalPtrTag","F","api"
"R_ExternalPtrProtected","F","api"
"R_ClearExternalPtr","F","api"
"R_SetExternalPtrAddr","F","api"
"R_SetExternalPtrTag","F","api"
"R_SetExternalPtrProtected","F","api"
"R_RegisterFinalizer","F","api"
"R_RegisterCFinalizer","F","api"
"R_RegisterFinalizerEx","F","api"
"R_RegisterCFinalizerEx","F","api"
"R_MakeWeakRef","F","api"
"R_MakeWeakRefC","F","api"
"R_WeakRefKey","F","api"
"R_WeakRefValue","F","api"
"R_RunWeakRefFinalizer","F","api"
"VECTOR_ELT","F","api"
"SET_VECTOR_ELT","F","api"
"REAL","F","api"
"INTEGER","F","api"
"LOGICAL","F","api"
"RAW","F","api"
"COMPLEX","F","api"
"REAL_RO","F","api"
"INTEGER_RO","F","api"
"LOGICAL_RO","F","api"
"RAW_RO","F","api"
"COMPLEX_RO","F","api"
"COMPLEX_ELT","F","api"
"INTEGER_ELT","F","api"
"LOGICAL_ELT","F","api"
"RAW_ELT","F","api"
"REAL_ELT","F","api"
"SET_COMPLEX_ELT","F","api"
"SET_INTEGER_ELT","F","api"
"SET_LOGICAL_ELT","F","api"
"SET_RAW_ELT","F","api"
"SET_REAL_ELT","F","api"
"R_alloc","F","api"
"R_allocLD","F","api"
"S_alloc","F","api"
"S_realloc","F","api"
"vmaxget","F","api"
"vmaxset","F","api"
"nrows","F","api"
"R_Calloc","F","api"
"R_Realloc","F","api"
"R_Free","F","api"
"Calloc","F","api"
"Realloc","F","api"
"Free","F","api"
"error","F","api"
"warning","F","api"
"errorcall","F","api"
"warningcall","F","api"
"unif_rand","F","api"
"norm_rand","F","api"
"exp_rand","F","api"
"R_unif_index","F","api"
"GetRNGstate","F","api"
"PutRNGstate","F","api"
